run_name,loss_fn,regularizer,kl_weight,mmd_weight,modality,classifier,fold,roc_auc,auprc,accuracy,precision,recall,f1,tn,fp,fn,tp
logcosh_kl,logcosh,kl,0.001,10.0,cnv,sigmoid_svm,7,0.5087,0.7688,0.4815,0.7547,0.4819,0.5882,12,13,43,40
logcosh_kl,logcosh,kl,0.001,10.0,cnv,sigmoid_svm,8,0.5667,0.7986,0.463,0.7451,0.4578,0.5672,12,13,45,38
logcosh_kl,logcosh,kl,0.001,10.0,cnv,sigmoid_svm,9,0.4712,0.7831,0.5794,0.8246,0.5732,0.6763,15,10,35,47
logcosh_kl,logcosh,kl,0.001,10.0,cnv,sigmoid_svm,10,0.6,0.8205,0.4486,0.7347,0.439,0.5496,12,13,46,36
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,1,0.5945,0.7934,0.7315,0.7912,0.878,0.8324,7,19,10,72
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,2,0.5537,0.8065,0.6481,0.7586,0.7952,0.7765,4,21,17,66
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,3,0.5161,0.7724,0.6667,0.7831,0.7831,0.7831,7,18,18,65
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,4,0.3598,0.7043,0.6204,0.7561,0.747,0.7515,5,20,21,62
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,5,0.5564,0.8056,0.6574,0.7875,0.759,0.773,8,17,20,63
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,6,0.4952,0.7743,0.6574,0.7447,0.8434,0.791,1,24,13,70
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,7,0.6407,0.8382,0.7037,0.8,0.8193,0.8095,8,17,15,68
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,8,0.4701,0.7448,0.6574,0.7674,0.7952,0.7811,5,20,17,66
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,9,0.5576,0.7981,0.6916,0.7952,0.8049,0.8,8,17,16,66
logcosh_kl,logcosh,kl,0.001,10.0,cnv,random_forest,10,0.5498,0.7917,0.6449,0.7619,0.7805,0.7711,5,20,18,64
