submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-GM-A3XG-01,-1.6633115,1.8930572,-1.3803586,-0.5385237,1.46461,-1.5620885,-0.35805798,-0.062428772,-0.13842626,1.5895351,0.24575333,-1.3343537,1.111188,0.3994786,-1.000834,-0.046754982,0.61873907,-0.35932618,0.28909943,-0.9806749,0.37110704,-0.8403405,-0.9830487,0.28892177,-0.65011376,1.3828472,0.009920024,1.1223389,-0.5516704,0.888253,0.9777926,0.7719121,1
TCGA-BH-A18J-01,-0.42974722,0.42592797,0.83283836,1.2694104,-0.13148354,0.21044983,-1.7017807,0.20049101,0.6720145,0.7168105,0.7257713,-1.8427486,0.5898322,0.3193194,-0.35050043,2.630972,0.46025285,1.4465935,-0.9784208,0.24930373,1.520813,-1.057199,-0.23542124,-0.20041916,-1.0733433,-0.7072871,0.007733995,-0.59095585,0.48293203,1.1280919,0.63133395,-1.1326997,1
TCGA-BH-A0W7-01,-0.12721539,-1.2336078,0.21757588,0.46561494,-2.1194093,-1.3417898,-2.4051495,-0.49969974,-0.8654482,-0.36494005,-1.1364559,-0.78085226,0.54898,0.32493287,0.09621806,0.64377993,-0.9105706,-0.40590584,0.3828508,-0.027147513,-1.0485501,-0.4791301,0.28411242,1.5673671,-0.72555196,-0.38742182,0.5145429,-1.5169735,-1.3566861,-0.5108798,-0.010509019,0.2906719,1
TCGA-E9-A3QA-01,1.0144364,-1.6491809,0.15441729,0.77015114,0.93337274,-1.4924875,1.0038427,0.43377352,0.6875592,-1.122179,0.89415336,1.2798022,0.60844064,0.8609942,-0.5066286,-0.57012826,0.09866102,-0.91376615,0.82849234,-0.9362059,0.55819684,-0.37649408,-0.44318703,-0.57953465,-1.5554942,-1.1276872,0.46140742,0.32717112,-0.69092417,0.8562866,-0.43488255,-0.04420445,1
TCGA-A7-A4SD-01,0.45386112,0.13638562,0.35866594,0.8862826,0.028812248,0.3457873,1.458358,1.9340208,-1.2111237,0.45534348,-0.39769253,-1.8996602,-0.50311697,0.78397644,0.34695056,0.31924784,0.2955834,0.5462006,-1.883861,-0.32041475,0.06731423,-0.013357796,0.267975,-0.3898571,-0.15405495,2.9788787,-2.1412928,2.0386374,1.2511845,-1.5262338,1.1954318,0.08690518,1
TCGA-BH-A0HA-01,0.98463684,0.40893528,-0.69531786,-0.22446632,-0.2115583,0.35526174,-1.3420064,0.64409924,0.9052796,1.4051813,-1.897383,-1.4745466,-0.48753706,-1.3614976,-0.3064193,1.6215193,0.15555155,0.62856126,-1.0899748,1.168629,2.0008986,-0.55197614,1.152874,0.5476185,1.9369187,0.18417673,-0.9820232,0.899748,0.49686533,1.7091924,-1.0650699,1.5495269,1
TCGA-AR-A5QN-01,-0.549975,-1.2752464,-0.9502694,0.62192,-0.7801583,-0.8458096,-1.1427794,-0.35431886,0.66704667,-1.8347399,-1.1691378,1.3514936,-0.078027084,-0.9449508,-1.2934493,-1.1630844,0.44779778,1.7488165,-0.40750214,-1.4236603,2.786756,0.8954894,0.21382926,-0.91671276,0.2693985,-0.02055944,0.672809,1.928759,-0.06825433,-0.30508584,1.4146426,-1.5875312,1
TCGA-A7-A0CH-11,0.062764205,0.8289824,-0.03855299,0.91290164,-1.3579153,-1.5660788,-0.3621145,0.10453681,0.5379943,-0.902516,-0.78665036,-0.3526173,-1.2008599,-0.22770466,-1.9689534,0.11040442,0.3797273,0.09638397,0.57129127,0.46133453,1.2568908,0.44077456,-0.18096115,-0.5440042,0.3399712,-0.5896245,-0.31889123,0.52002335,-0.30044734,0.5445996,1.3380677,0.9663149,1
TCGA-A7-A0CE-01,-0.117005765,-1.1256031,-1.3800371,0.6431342,-0.34274402,1.561244,0.9355575,-0.500867,-0.06699951,0.67234915,-0.80716544,-2.13033,-0.20018561,-1.4673892,-1.1309599,-0.47149646,-1.2378784,-0.74931204,-0.65886277,-0.06704291,0.6741715,-1.2615745,0.73086745,-0.21946481,1.2369214,-0.33979976,0.21448007,-1.8303331,0.9153378,0.36130822,-0.8500912,-1.230563,1
TCGA-AR-A0U1-01,-1.9023646,-1.1886823,-1.3738939,0.6098552,0.09996393,-1.323872,0.7890739,0.15462469,0.8176504,-1.1197648,0.21702002,-1.2328627,-2.2440023,-1.0581079,-0.27593964,0.312984,-0.701508,1.6204529,-0.71101576,-1.9388909,-1.483995,-0.25622547,-1.114936,0.9087314,-0.21649478,-1.0045599,0.6387186,-0.82689804,-0.60831904,0.27380574,-1.0221206,-0.160155,0
