submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-A1-A0SF-01,0.24865371,1.6140485,-1.072632,-0.29684013,-2.8629477,1.5991478,0.5878716,0.71566015,-0.4963134,1.9170647,1.4758186,-1.7920258,1.7052455,-0.85561913,0.3653499,-0.3121003,-4.292081,0.36706233,-0.7662141,-0.041445054,-1.333581,1.6145713,1.2524093,0.4713608,-0.23386215,0.52369374,-0.22880721,1.1035339,-0.84932566,-0.028947353,-0.41809112,-0.04284674,1
TCGA-A1-A0SG-01,0.36079416,-0.6644683,0.4844087,-0.22052464,-0.14249273,0.76651347,0.95722616,-0.34460977,0.27794337,-0.259704,-0.18520908,1.1798884,0.8329486,0.079073265,-0.29563868,-0.99595666,-0.0071318448,-0.6110039,-0.71785825,-0.02477657,0.4614634,-0.1279509,0.44315946,0.37762618,0.05196683,0.13866742,1.2723477,-0.13086876,0.5357352,1.0867367,-1.4375745,0.37398443,1
TCGA-A1-A0SH-01,-1.0266274,-1.1048319,0.041930348,0.46741462,-1.3367946,1.2794738,-0.21811886,-0.24721761,0.34763104,-1.7736058,-0.85979724,1.6555904,-1.2171345,0.054720536,-0.06751269,-1.043263,-0.43521628,-0.15635541,-0.2836802,0.34392947,-1.1933299,0.2522817,1.3375568,-2.8779604,-0.22706729,-1.1885731,0.072639525,0.17211926,-0.3594123,0.20321739,0.813403,-0.525499,1
TCGA-A1-A0SI-01,1.2874322,-0.36209077,-0.45137668,0.80210716,0.45222387,-2.5248418,-2.2348433,0.7317407,0.83500576,0.7717657,1.4502811,1.1616566,-0.58320165,-1.5217791,0.43653324,0.09519367,-1.4064982,0.8845014,-3.3657985,-0.73327494,-0.36811006,2.4711504,0.11169514,1.6892855,-0.42164382,0.8566811,1.1616021,1.0546471,-1.4285324,0.7254468,-0.25670728,0.6027931,1
TCGA-A1-A0SJ-01,0.5128412,-0.7156622,-0.2716806,0.99230313,-0.022152886,0.9652278,-1.0907816,1.3458446,-0.3520096,-1.7941946,1.9254494,1.3388884,0.91612554,0.8073276,-1.8663192,1.1473687,-0.22170247,-1.3355092,-0.32714212,-1.328899,1.3801826,-1.1231822,-0.104953855,-0.18044999,-0.38734987,0.4380474,-0.021871746,-1.7668219,-0.9646729,0.5844141,1.0808662,-1.0115865,1
TCGA-A1-A0SK-01,0.618082,0.3440983,0.35121292,-0.8311268,0.041946262,-1.5963546,-0.4328665,-0.36263847,-1.9119289,0.3908074,0.41253424,-0.78144276,-0.7001259,0.17430466,1.287258,0.02295518,0.59642005,-0.44423532,-1.9436936,1.7632232,0.8107571,0.9731519,0.6378979,0.9265566,-0.19273695,0.60606873,0.30881578,-0.5884199,1.0808287,-1.2402843,0.012782853,0.23678717,1
TCGA-A1-A0SM-01,-0.882298,1.4614241,0.67207885,0.53482896,-0.57100195,-0.7375773,-0.3534348,-0.97263646,-0.3845905,-0.41667727,2.4013007,-2.4610524,1.3210143,-0.0007379055,1.7713009,0.35173815,-0.5161186,0.5333538,0.7029737,1.5905858,-0.15298256,1.2335829,-0.70522267,-1.7405314,-0.9003792,-1.0853592,-3.7628665,-0.85688436,0.018556237,-1.128291,0.8034034,-0.50524527,1
TCGA-A1-A0SN-01,-1.0621325,0.9942363,0.8225664,-1.4677186,0.86869377,0.023320109,0.25087684,-0.2092139,-1.5059781,0.548465,1.6366267,0.9925872,1.3401208,-0.68286055,2.2118459,0.5218603,-0.56806225,0.56779003,0.3086918,-0.68653107,-0.46703023,0.36074412,-1.033165,-2.6926763,0.6748157,-1.4182179,-1.3537643,-0.6567951,0.21095061,-1.645155,0.6820218,0.32706976,1
TCGA-A1-A0SO-01,0.089547396,-3.1477916,0.03091979,0.11150688,3.652728,-0.5952657,-0.29973674,-1.0616177,0.35982466,-1.1908178,0.34814605,-0.67170215,0.794587,-0.28463456,0.17268878,0.40907866,-1.1329471,1.0586553,0.12889126,0.78706646,-0.37026834,-0.75506413,1.2468314,-0.7367651,-2.1940188,-2.375042,0.5321245,-0.2977922,-0.9950557,1.4578633,1.7994219,0.0733701,1
TCGA-A1-A0SP-01,0.3036918,-0.58190894,1.987433,-0.17229185,-0.6959133,-0.6580146,-1.476718,0.9247147,0.7015699,2.4603357,-0.7485022,-0.9098791,-0.3790802,0.2961836,-0.6517323,-0.42217076,-1.1455871,0.15404487,-1.2475041,-0.23387283,-3.0467644,-0.5912135,1.885406,0.59395516,1.410077,-1.8018134,1.0451974,0.8379426,-0.20858908,-0.79833907,-0.32105362,-0.66007257,1
