submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-MS-A51U-01,-2.502595,-0.04287561,-0.6238634,0.38026404,-0.67557013,0.10097308,0.2927138,-0.006890945,0.92630804,-0.5935284,-0.29308915,0.24120852,0.25573218,-1.09934,-0.22349605,-1.623844,-1.3173845,-0.044420928,-0.07636174,-1.8731698,-1.8065366,-0.56076616,-1.315508,-0.3940945,-1.3714703,-1.4807098,1.6440854,-2.6954703,1.2978094,-0.65244335,0.787052,0.019748315,1
TCGA-OK-A5Q2-01,0.18044992,1.0176722,-0.8019484,0.038228415,0.13400197,-0.7206173,3.0460312,1.0720265,-0.36056033,1.7569444,1.1603508,0.06815651,-0.82674867,0.9814697,1.7531182,0.56955945,1.2829937,-0.3841262,0.83210504,2.0190217,0.28375894,1.6915939,-1.0820836,0.19651146,0.122147575,-0.6248463,-0.7823446,2.0643797,-0.42683583,0.5016253,-0.32126933,-1.6327511,1
TCGA-OL-A5D6-01,0.16771449,2.0917807,1.2295144,1.42504,0.629182,0.24944782,1.2629627,-0.03231728,-0.2638964,-0.6336159,0.2959656,0.36826256,-0.29503587,-0.1619679,0.73950106,1.4047127,-1.2897619,0.6715893,1.0734009,1.41597,1.7547014,1.2498741,-0.7883364,0.6398901,-0.07362352,-0.41941148,0.15649173,1.8139863,-0.32315406,-0.40282157,1.5306258,-3.479967,1
TCGA-OL-A5D7-01,0.5117517,0.60376084,1.2243507,0.10083882,0.65262645,-1.0725418,-1.6915344,-1.3107293,0.23956212,1.057908,-1.915385,0.60834634,-0.21213335,-1.0263572,-0.710543,1.3163652,-1.0748241,-0.9576438,0.16385728,0.7830671,0.7002578,-1.7402768,1.75867,1.1340594,-0.48859024,0.68412375,-0.23198067,1.5805197,-1.810289,-1.0155292,0.34254372,-1.3772702,1
TCGA-OL-A5D8-01,2.382093,-2.6129315,0.67170614,-0.32213765,0.5798844,1.1960615,-0.5205809,-0.6494279,-1.8164377,-0.5197406,0.5717717,0.21095598,0.8329974,-0.23326138,-0.18144771,0.55199146,2.4067695,-1.8444064,-1.0561335,0.2541638,0.5520622,-0.4885406,1.1610708,0.33789495,0.3323505,0.9202668,-3.0281398,1.0583208,-1.2513803,-1.2920138,0.63790166,0.34491605,1
TCGA-OL-A5DA-01,2.0819983,-1.4245967,0.39824873,0.4179592,-0.42521778,0.33972815,-3.2581346,-0.47405535,-0.6776109,-0.882591,-0.33504748,0.56120265,0.6869743,-2.1255348,0.1886977,-0.10505005,0.6721425,-0.6194108,0.5432589,-0.19885106,-0.5106636,-1.8674649,0.37520075,0.27191386,0.9214675,1.76558,-1.5887746,0.5559674,-0.24918154,-1.2531672,0.91277444,0.0039889067,1
TCGA-OL-A5RU-01,0.29415902,1.5845627,0.0741921,1.3015902,0.093766294,-0.48812464,0.70765424,0.6517553,0.03790468,-0.077053644,-0.005092602,1.1736473,-0.7767082,-0.84090155,1.6598947,-0.2826394,0.44068354,-0.12782817,0.824607,0.21524277,-0.42106766,0.38035464,-1.4703355,0.33132273,0.031658247,-0.5513049,0.42099333,1.3119636,-0.11273717,-0.24306944,0.99104893,-3.3793778,1
TCGA-OL-A5RV-01,0.2657422,1.0599432,-0.900704,0.11940964,0.02882471,-0.66076225,2.9892175,1.1115957,-0.32859683,1.5784831,1.2485057,0.0652925,-0.7744675,0.95631087,1.663639,0.5120173,1.3343527,-0.3882003,0.86966354,1.8499817,0.15072887,1.7547114,-1.1252643,0.10043276,0.23401932,-0.48508352,-0.8698137,2.0586398,-0.3230217,0.5348391,-0.33141088,-1.5638261,1
TCGA-OL-A5RW-01,-0.20349704,1.0469816,1.0447333,0.6586317,0.8563694,-0.254381,0.39305958,-1.2703259,0.1946505,0.13766977,-1.3280418,0.017714687,0.12140725,-0.43840995,0.58562183,0.28475517,-0.5657018,-1.7872431,-0.6191055,0.27244967,-0.0017120093,-0.32826817,0.58745706,-0.024904646,-1.6216787,-0.40286207,-1.1627127,1.6925023,-1.1839868,-1.3886671,1.5823078,-2.430354,1
TCGA-OL-A5RX-01,0.0868807,1.6133463,0.76324594,1.6004517,-0.08791185,0.15067099,-0.39889833,0.3171101,0.42359176,-0.68239325,-0.587926,1.803352,-1.1358063,-1.6070447,1.2213128,-0.49760798,-0.46010363,0.6822602,1.1081944,-0.5950033,-0.9486848,-0.05129344,-1.4629104,0.3243036,0.37676346,-0.66348267,1.3697382,0.7212797,-0.056056134,-0.6271225,1.0590684,-3.3052664,1
TCGA-OL-A5RY-01,-1.0070113,1.814933,-0.63627994,0.9747074,0.36710835,-1.219513,-0.72292113,0.7355257,-0.023166537,0.9711592,-0.6434396,1.4374423,-0.12774354,-1.8756323,1.7800324,-0.6463697,-0.08088856,-0.4965342,1.2483567,-0.7724587,-1.7619822,-0.614778,-0.83094424,0.31725842,-0.078119144,-0.26130992,0.7772279,0.16233069,-0.22224143,-0.22035114,0.83838403,-2.1822572,1
TCGA-OL-A5RZ-01,-1.906767,0.6160797,1.2036184,0.3833983,0.6330812,-1.5136222,2.3353794,-0.66610837,-0.4457868,0.910593,-0.031999122,-0.17134473,1.6914408,0.5894024,0.11562988,-1.3141465,0.7285229,-0.34933245,-1.8970197,-0.2029986,-0.9962988,0.487225,1.1760683,-1.347408,-1.6963798,-1.4514892,-0.9515271,0.10669499,-1.211785,-0.4851534,0.41996393,-0.88456064,1
TCGA-OL-A5S0-01,-0.9732762,1.0031556,-2.1522608,-0.10820059,0.035433166,-1.5934277,0.52374315,0.5126461,0.23646608,2.3836627,-0.6047337,1.5065775,-0.40753114,-1.1498804,1.8580513,-2.140814,1.7703509,-1.3546709,0.5825389,-0.12124023,-3.4035854,-1.3746582,-1.6536763,-0.041174777,0.006504789,-1.2074596,0.5178203,0.3674993,-1.1734406,0.41849148,0.8224851,-1.8989695,1
TCGA-OL-A66H-01,-0.1920415,1.5632004,-0.111835964,1.0282758,0.35856375,-0.6145101,0.010945737,0.52771723,-0.13475227,0.3925493,-0.36747685,0.9334395,-0.64664006,-1.4041462,1.7806301,-0.04725554,-0.21832077,-0.36856726,1.0176405,0.060574934,-0.28440475,-0.01216618,-1.1117568,0.7406128,-0.17785184,-0.24947007,0.274032,0.9247196,0.024302281,-0.44095355,0.9694782,-2.929009,-1
TCGA-OL-A66I-01,3.2406716,-1.3271929,-0.24754705,0.3670112,0.23840529,0.61531776,-2.5278447,0.09800178,-1.3702602,-0.5577337,0.21371703,1.2491528,0.36303592,-2.0249815,1.0285143,0.33358642,1.7025743,-0.980539,0.5439902,0.14806642,-0.12457116,-1.4500961,0.35894832,1.3350415,1.6880907,2.4164817,-2.0389829,1.3244917,-0.57293975,-0.47575185,0.627633,-1.0520153,1
TCGA-OL-A66J-01,0.03166147,-0.6673558,0.28395182,0.14106673,0.7601823,-0.060432576,-1.8153669,-0.0792864,0.6256796,1.7209556,0.3664319,1.1095792,0.73346066,-2.6045752,0.08234479,0.5072568,-0.44933134,-0.8513097,1.0173887,1.0295259,-0.48484755,-1.206551,0.3115194,1.967689,0.85789037,0.12982212,-0.34867793,0.26929754,-1.15311,-0.86347353,1.4340506,-1.4331821,0
TCGA-OL-A66K-01,-1.7634944,-0.71680725,-1.9622749,-0.34573105,-0.8160641,0.96376884,3.3341043,0.28701478,0.62587464,0.90923303,2.3819058,-0.8123514,1.3259273,0.35623622,0.27328214,-1.9198675,0.936577,0.42310745,-0.589216,0.076854214,-1.7175263,1.3892419,-1.8450652,-0.593598,-0.18796413,-1.5675361,-0.9081309,-1.4161284,0.42671958,0.19356593,1.4759653,0.03189233,1
TCGA-OL-A66L-01,0.0868807,1.6133463,0.76324594,1.6004517,-0.08791185,0.15067099,-0.39889833,0.3171101,0.42359176,-0.68239325,-0.587926,1.803352,-1.1358063,-1.6070447,1.2213128,-0.49760798,-0.46010363,0.6822602,1.1081944,-0.5950033,-0.9486848,-0.05129344,-1.4629104,0.3243036,0.37676346,-0.66348267,1.3697382,0.7212797,-0.056056134,-0.6271225,1.0590684,-3.3052664,1
TCGA-OL-A66N-01,2.6666932,-1.8899267,-0.5112796,-0.27156788,0.06534832,0.34838742,-0.8255098,0.9499413,-1.5300498,-0.039027642,1.374905,0.2476441,-0.033495836,-0.5345164,0.7377803,0.8342849,2.2127812,-0.9961782,0.5969105,1.0543729,0.5536759,-0.46674109,-0.15191707,0.8793438,1.1724621,1.7720697,-2.910623,1.6299392,-0.30075178,-0.22020271,-0.34059665,0.6632519,1
TCGA-OL-A66O-01,0.38942838,1.8402253,1.0917974,1.2898023,0.9968177,-1.2226331,-0.14987525,0.09705877,0.32555655,0.7349887,-1.1488646,0.52824783,-0.49820584,-0.4849781,0.66898024,1.0991948,-0.8341103,-0.2574244,1.2845678,0.99735206,0.7689821,-0.55501807,0.19377747,0.2058584,-0.4967674,-0.13307764,0.501556,2.6807566,-1.2654113,-0.27382123,0.4360548,-2.71493,1
TCGA-OL-A66P-01,-0.13019498,-0.37135074,1.8473623,0.13157776,0.5250971,0.6819075,1.5126483,-1.4381101,-0.2980752,-0.88129073,-0.5824219,0.12890115,0.41978297,-0.8690384,-0.13669771,-0.37423608,0.062444218,-1.2019984,-2.0192692,-0.5400661,-0.28760666,0.31250966,0.568863,-0.44696006,-0.98742056,-1.3538547,-1.5450934,0.540028,-0.892448,-1.8441234,2.0818462,-2.4308615,1
TCGA-OL-A6VO-01,-2.1029496,-0.45158327,-0.83914036,-0.14076713,0.41022965,0.14131242,-0.49940518,-0.7936688,1.1359087,1.0254726,-0.07069293,0.26943302,1.0260243,-2.5896344,-0.47646728,-1.6363271,-1.0717915,-0.17119893,0.14158982,-1.4193405,-1.8744885,-1.1269599,-0.539032,0.122692905,-0.46441787,-0.93614477,0.67120004,-2.9245973,-0.17183039,-0.618127,1.7095988,-0.3044489,1
TCGA-OL-A6VQ-01,0.0868807,1.6133463,0.76324594,1.6004517,-0.08791185,0.15067099,-0.39889833,0.3171101,0.42359176,-0.68239325,-0.587926,1.803352,-1.1358063,-1.6070447,1.2213128,-0.49760798,-0.46010363,0.6822602,1.1081944,-0.5950033,-0.9486848,-0.05129344,-1.4629104,0.3243036,0.37676346,-0.66348267,1.3697382,0.7212797,-0.056056134,-0.6271225,1.0590684,-3.3052664,1
TCGA-OL-A6VR-01,1.6758565,-2.160723,-0.07181934,-1.0191047,0.36509314,0.020935481,-1.9496912,-0.084718406,-0.48038936,0.5015517,0.8005754,1.8191782,0.70183265,-3.0994177,1.1717924,0.6650205,0.92228734,-0.8283821,0.82306814,0.21573098,-0.6933992,-1.5935173,0.19926599,1.1483345,0.8821508,1.5496029,-1.1302301,0.33548254,-0.79677844,-0.14767078,1.1884736,-0.8259305,1
TCGA-OL-A97C-01,0.29415902,1.5845627,0.0741921,1.3015902,0.093766294,-0.48812464,0.70765424,0.6517553,0.03790468,-0.077053644,-0.005092602,1.1736473,-0.7767082,-0.84090155,1.6598947,-0.2826394,0.44068354,-0.12782817,0.824607,0.21524277,-0.42106766,0.38035464,-1.4703355,0.33132273,0.031658247,-0.5513049,0.42099333,1.3119636,-0.11273717,-0.24306944,0.99104893,-3.3793778,1
TCGA-PE-A5DC-01,-0.5948213,1.7597151,0.92149234,0.7838722,0.38538638,-1.6115496,-0.518916,-0.34537822,0.08782259,0.912925,-2.6009152,0.021423988,-1.1882668,-0.37595066,0.6275464,1.1417675,-0.9965264,-1.0094137,0.31115985,0.064666554,0.779057,-1.2436599,1.2269657,-0.19712102,-1.7364491,0.19272788,0.5313072,1.5073082,-1.0309553,-0.903162,-0.2053037,-1.8144406,1
TCGA-PE-A5DD-01,0.1720605,3.3196597,0.34594646,1.6752632,0.9836222,-0.2884375,2.35838,0.9836777,-0.02018024,0.32464945,-0.526943,0.8477665,-1.3989896,-0.09201643,1.438824,1.0101624,-0.013931533,0.47813353,0.9332406,1.1532286,0.4727654,1.2982924,-0.87000996,0.36071965,0.411018,-0.5132834,0.95997983,2.7767,-1.3917913,0.48141435,0.37796965,-4.170118,0
