submitter_id.samples,mrna_vae_1,mrna_vae_2,mrna_vae_3,mrna_vae_4,mrna_vae_5,mrna_vae_6,mrna_vae_7,mrna_vae_8,mrna_vae_9,mrna_vae_10,mrna_vae_11,mrna_vae_12,mrna_vae_13,mrna_vae_14,mrna_vae_15,mrna_vae_16,mrna_vae_17,mrna_vae_18,mrna_vae_19,mrna_vae_20,mrna_vae_21,mrna_vae_22,mrna_vae_23,mrna_vae_24,mrna_vae_25,mrna_vae_26,mrna_vae_27,mrna_vae_28,mrna_vae_29,mrna_vae_30,mrna_vae_31,mrna_vae_32,label_mrna
TCGA-GM-A3XG-01,1.4325665,0.14433359,-0.34345123,1.5198559,1.2553852,0.33931983,-0.14931563,-0.3170507,0.14642856,-0.52066773,0.6135279,-0.30465338,-0.5619304,0.5168199,0.41377637,0.16379882,0.23010248,0.48896757,-0.07174885,-0.5069862,0.17655638,0.6063606,0.46091795,-0.0694099,0.19937636,0.53984004,-0.45047206,1.0395441,2.1512146,0.68013805,0.9811556,-0.34470624,1
TCGA-BH-A18J-01,1.1499655,0.0042647445,1.3133469,0.09170395,-1.0117198,-0.030139036,-0.77035487,-0.7927394,1.0390881,0.018554762,-1.0224035,1.7037615,-0.16516514,-0.63168067,1.2427903,-0.16943246,-0.1668482,-0.12051402,1.8993449,-0.36654782,-0.22059561,-1.3533839,0.6939543,0.28302467,0.33499542,0.38251126,-0.32013792,0.22481468,-0.101643845,-0.6191726,-0.14962552,-1.0187755,1
TCGA-BH-A0W7-01,1.1801164,1.7759486,1.4238827,-0.21866454,0.70475286,0.3900341,0.39361542,0.70653766,0.016257651,0.30279416,-1.9049299,0.3654001,-0.7204398,1.4957385,1.2983795,-0.8059956,0.73897296,0.3417464,-0.10349002,0.1204406,0.5595414,-0.65822726,-0.31828305,-0.1119156,-1.5619389,0.2930879,0.26160535,0.027308362,-0.08276852,-0.7932154,-0.538628,-0.9958743,1
TCGA-E9-A3QA-01,-1.5182643,0.08917706,-0.9873852,-1.5908676,-0.41558754,-1.3215438,0.06759085,-2.5376232,-1.7322098,-0.67795813,-0.2765004,0.34338337,-0.16397671,1.175582,-1.3630713,1.3775941,-0.25688744,-0.8888529,0.5320271,-1.7589575,0.97376496,-0.36119694,1.6552542,-0.6042081,-0.5303082,0.5684297,-0.3641761,0.75175816,-1.6512657,-0.30586514,-0.19661903,0.44937676,1
TCGA-A7-A4SD-01,-0.7611967,0.44776174,0.23793702,-1.3314142,-0.060367685,-0.95255613,-1.4488889,-0.14513545,-0.5423764,0.18230933,-1.0722492,0.04555837,1.8028991,-1.7102313,-0.43794215,-0.036714453,0.28641352,-0.69548815,0.071799114,-1.1314512,-1.3018537,-0.6058842,-1.897033,-0.096077286,-1.278588,2.0207102,0.34623352,1.33851,-0.15672041,0.5491701,0.18047264,0.94389087,1
TCGA-BH-A0HA-01,-0.58529097,-0.5216207,-0.28149828,0.05644931,-0.65258634,1.7579068,-0.7262145,-1.2672583,-0.1115153,0.1994532,-0.4355107,-0.3354567,-0.12649627,0.14619076,0.7645897,-1.6271603,0.04744438,-0.009618755,-0.63682294,0.5001564,-0.037376452,-0.19681355,0.16590978,-0.6557871,-0.40817687,-2.2236025,1.1147934,-2.5532603,0.97645956,0.29815456,1.6590958,1.058127,1
TCGA-AR-A5QN-01,0.51391566,0.7758358,1.7070124,0.5982832,-0.8352025,-1.8143862,-0.5644016,0.4952185,1.7580556,-0.42019123,1.2676557,1.5879362,0.56218493,0.016566573,0.2847164,0.4341203,0.5340875,1.0779674,0.5919655,0.55308115,0.0698936,-1.0636586,1.619926,0.31829703,-1.2171893,-1.2802271,-1.4476959,-0.45519498,-1.2728351,0.7018518,0.27301124,1.1053905,1
TCGA-A7-A0CH-11,-0.87137806,1.4401035,-2.1427188,-0.9812003,-1.3563913,-0.06735203,-0.812744,2.3792663,-1.286876,2.0760765,0.44546905,0.16551527,-0.38124815,-0.23339103,1.128879,-0.46424967,0.8496429,0.48822173,2.3388493,-0.35054418,2.017806,-0.43435195,-0.27770987,-1.2800609,0.21209192,-0.6168554,-0.27155375,1.448774,0.1899849,1.2510219,-0.37706995,-1.7850093,1
TCGA-A7-A0CE-01,-0.786306,0.22514421,-0.16842358,0.7292552,0.81497353,0.7809632,-0.49751198,-3.1614034,-0.034238312,-0.903243,0.08996305,1.6881593,0.18629171,0.8158023,-1.4973933,-0.59313345,-1.4046332,3.096034,-0.91637063,-0.58784986,-0.14816707,1.0934472,1.9746354,0.40223444,-0.08516329,2.1485326,-0.17529884,-2.1629157,-0.39406043,0.07121993,0.23334102,-0.15436058,1
TCGA-AR-A0U1-01,0.28711468,-1.352539,0.6175211,0.7040737,-0.41157982,0.7686143,-0.14656019,-0.33368957,0.65333,0.041530572,-0.58771163,0.4554458,-0.9429382,1.0961062,1.1516312,1.2913327,-2.5592782,0.115379885,1.2851317,0.6222672,0.24512137,-2.6176186,0.8496937,0.17632423,-0.13023601,0.6761368,-1.4168824,-1.5895419,-1.7730746,-2.1680741,1.400337,0.9122529,0
