submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label_cnv
TCGA-A1-A0SF-01,2.1129842,-1.412773,0.85761404,1.527457,1.5467962,-1.6689248,-1.0577798,0.22671065,-1.0090611,1.2726563,1.880304,0.19587249,1.484935,-1.1548755,-0.53739756,2.5372026,0.33693606,2.1764092,-1.5419312,-0.0037800372,-1.591459,0.49632868,-1.2487417,2.4819157,-0.74454963,-1.3785045,-0.4820228,0.38459837,-1.7983102,0.112383954,-0.93045104,-0.97947264,1
TCGA-A1-A0SG-01,-0.09775565,-2.99402,2.4827309,0.5893018,-0.82686377,-1.9382721,-1.2224416,2.7082512,0.18256395,-0.73415434,1.0022675,1.8096237,0.39575043,0.57545227,1.1784204,0.106860936,-0.8350853,1.7092552,-0.17003539,-0.58873796,1.6315491,1.8272494,2.6533537,-0.7872239,0.742742,-1.0961024,-0.7350526,0.94453275,-2.682131,0.012685597,0.6616396,0.17115283,1
TCGA-A1-A0SH-01,1.7720177,-0.2968871,-2.2490404,-0.54612374,0.5126008,-3.7207892,0.99758905,-0.4576684,0.14417748,-2.2631788,-0.356989,-0.5442046,0.25237048,-0.15143122,0.35442373,-0.3808138,2.4122455,0.21240145,0.20833153,1.1888684,-0.41109693,-1.7355973,0.13060468,0.9919038,-0.7732858,-1.8536222,0.74194616,0.08752523,1.1668183,-1.4671034,-2.0554993,2.7899783,1
TCGA-A1-A0SI-01,0.5331211,-1.2388294,0.95508724,1.7441976,1.0282905,0.24973999,0.037700802,0.59035176,-1.1681279,2.4469378,1.6482438,2.1097598,1.4768646,-0.98127395,-1.3275305,2.406734,-0.25060973,2.0464187,-1.9686129,-0.56140685,-2.4602795,0.45837185,-0.5958506,2.0605068,-0.17945635,0.49499914,-0.08496177,-0.54102206,-2.562219,1.3522081,-1.1842083,-2.813977,1
TCGA-A1-A0SJ-01,-2.075854,-1.0884602,-0.5763104,0.018445939,-2.5227923,-0.011940718,2.8080003,-1.115586,0.48733672,-1.7961699,-1.7642944,1.525207,-2.3103476,-0.73813415,0.9240017,-2.8418965,0.11240855,0.21903412,1.5183597,-0.4829259,0.73322177,-1.4511194,1.0517237,-1.596621,1.294482,-0.061200336,0.12489422,-1.3996553,2.0438673,-0.7063225,-1.1777111,1.184835,1
TCGA-A1-A0SK-01,-1.4192466,-0.65241086,1.5645846,-1.2365566,-0.39279974,0.41176513,0.43617523,0.9006187,0.22080877,1.1140561,1.71744,3.852317,-1.6171223,1.0579333,-0.41034687,2.0974336,-0.24160339,0.45681053,0.96784425,-1.2223452,0.3146783,3.0244915,2.5584204,-1.2488008,2.2777166,0.3214755,0.33345968,-1.8495739,-2.122232,0.6217335,-0.36600837,-1.5754848,1
TCGA-A1-A0SM-01,1.0523815,2.0486896,-3.5254102,0.2543006,0.9450346,-1.2617414,0.4752477,-0.9605669,-2.783297,1.6263356,0.6215829,1.0294944,-0.99586385,1.0246044,0.060831383,0.8084871,1.5971603,2.1874774,1.3300743,1.3975856,-1.1560215,-0.620355,-0.4672792,0.926543,-0.42597365,-1.4605417,0.0807682,-0.42194512,-0.43368655,-0.97060937,-1.6251426,0.9716007,1
TCGA-A1-A0SN-01,1.5414741,-0.022723503,-0.71575683,0.66593885,1.0107731,-0.49451408,0.50081605,-0.9064372,-2.6368067,1.0575018,1.6198823,1.7427884,-0.7865837,0.1077725,0.7759396,1.571016,2.207217,1.5801731,0.06496572,1.3490198,-0.98202354,0.3281972,-0.34769058,1.8296366,-0.3614906,-1.9526907,0.66609406,-0.6427231,-1.5259597,-0.03752458,-1.4775966,0.2641918,1
TCGA-A1-A0SO-01,1.2886261,3.403317,-4.613741,-1.3262942,2.5442538,-1.1607697,0.98821974,-1.8067414,-0.3964072,0.74230766,-0.17270605,-1.5545186,-0.031010479,0.8261456,-0.3594097,0.23751557,2.0321693,1.7839174,0.007422358,0.57030934,-1.6649139,-1.4593439,-0.9148645,0.96896505,-0.9372674,-1.5978085,0.34842727,-1.4750044,1.4666114,-0.6732774,-0.8279911,2.6590796,1
TCGA-A1-A0SP-01,2.4746995,0.72707415,-0.27097926,-0.93212837,3.2548974,0.6599688,-2.0988996,0.34481502,-2.3118126,3.2221875,2.3160853,-0.1720669,-0.033595044,-1.5098084,-1.8586937,4.9565034,0.82011783,1.2862089,-1.320756,-1.0133007,-1.1374744,1.2054108,-0.8466953,1.3965681,-0.7028086,1.1295657,1.0456722,-1.3552035,-2.0669162,1.3543088,1.0658288,-1.8772843,1
TCGA-A1-A0SQ-01,-0.64214635,0.4280349,-0.6933078,0.5805435,0.48268527,1.0083789,1.0045378,-0.49653724,-1.4003497,2.108759,2.2338092,1.486878,-0.64307576,-0.6327002,-1.1792938,3.0084732,0.19771037,1.1975704,-0.018314451,-0.53693604,-2.4946144,0.39725205,-1.3565505,1.9314172,0.3584871,0.06024977,0.4601465,-1.6715555,0.31876183,1.2782573,-1.2981125,-1.5411937,1
TCGA-A2-A04N-01,0.2023764,-2.5888228,2.1050105,0.07038804,-0.22442797,-2.0474072,-1.2602472,2.3931959,-0.0115511045,-0.8697667,1.092099,1.523054,0.09601316,-0.21835479,0.8571535,0.30353048,-0.6491368,1.3801461,-0.76294756,-1.0833793,1.7268596,2.204759,2.756418,-1.0083647,1.0015924,-1.2589033,-1.0499653,0.18094468,-2.6034172,-0.08277009,0.8500637,-0.15476197,0
TCGA-A2-A04P-01,1.1040711,-0.3093418,0.9503366,1.6010228,0.7466259,-0.9873843,0.3489597,1.1477815,-2.3793387,0.93812525,1.0546559,2.6742601,-0.23546344,-0.5497113,0.95819956,0.85061705,1.5243012,2.4065504,-1.6591358,0.5298049,0.50455904,0.42859903,0.54165095,0.8247894,0.031021718,-0.8063468,0.09947586,0.62928224,-3.1496902,-0.31398186,-1.1845385,-1.5012909,1
TCGA-A2-A04Q-01,1.8768451,-1.2346796,1.2556671,-0.20281819,1.4462634,-2.7203841,-2.0829842,1.4273878,-1.3791953,0.08928144,2.1876457,0.9106141,0.4266742,-0.79045045,0.1748364,2.3002646,1.0272524,1.4150629,-1.2214732,0.0098513365,-0.43997777,1.5758922,1.1677076,0.28971028,-0.7738787,-0.8194532,0.7625042,-0.4464298,-2.6978571,0.13552752,0.8138283,0.15596421,0
