modality,classifier,cv_roc_auc,cv_auprc,cv_tn,cv_fp,cv_fn,cv_tp,full_roc_auc,full_auprc,full_tn,full_fp,full_fn,full_tp,cv_accuracy,cv_precision,cv_sensitivity,cv_f1
cnv,rbf_svm,0.5209,0.7846,4.5,20.6,12.7,70.1,0.9613,0.9871,201,50,41,787,0.6914,0.7729,0.8466,0.8081
cnv,linear_svm,0.5135,0.7849,11.0,14.1,36.9,45.9,0.6098,0.8302,137,114,352,476,0.5273,0.765,0.5543,0.6429
cnv,poly_svm,0.5128,0.78,2.2,22.9,6.0,76.8,0.9808,0.9838,206,45,1,827,0.7322,0.7703,0.9275,0.8416
cnv,sigmoid_svm,0.4896,0.7712,12.3,12.8,43.6,39.2,0.6225,0.827,81,170,446,382,0.4773,0.7538,0.4734,0.5816
cnv,random_forest,0.4893,0.7662,4.4,20.7,16.4,66.4,0.9797,0.9895,225,26,16,812,0.6562,0.7623,0.8019,0.7816
