submitter_id.samples,cnv_vae_1,cnv_vae_2,cnv_vae_3,cnv_vae_4,cnv_vae_5,cnv_vae_6,cnv_vae_7,cnv_vae_8,cnv_vae_9,cnv_vae_10,cnv_vae_11,cnv_vae_12,cnv_vae_13,cnv_vae_14,cnv_vae_15,cnv_vae_16,cnv_vae_17,cnv_vae_18,cnv_vae_19,cnv_vae_20,cnv_vae_21,cnv_vae_22,cnv_vae_23,cnv_vae_24,cnv_vae_25,cnv_vae_26,cnv_vae_27,cnv_vae_28,cnv_vae_29,cnv_vae_30,cnv_vae_31,cnv_vae_32,label
TCGA-A1-A0SE-01,0.0013980418,0.015763195,-0.044732306,-0.056537576,0.027876813,0.06577881,-0.1059831,-0.042920586,0.01486728,0.016175976,0.086755075,-0.0829021,0.07716796,0.071845226,-0.065750375,0.62697124,-0.071398795,-0.04464885,0.10172802,0.108669676,-0.05144925,0.02827603,0.039620396,-0.018215207,0.039118327,-0.009537317,0.011291996,0.08497515,0.053590335,-0.0070262775,-0.00028240122,0.07501237,1
TCGA-A1-A0SF-01,-0.020914048,-0.054177657,0.07456386,0.008061804,-0.041731637,-0.01326023,-0.0141158,0.039306168,0.041101757,-0.015111992,-0.0168655,-0.03713326,0.052672986,-0.0082856165,0.058354724,0.7353833,0.030388564,-0.09801265,0.042943686,0.022773333,-0.026787262,0.007114742,0.03484082,-0.02114862,-0.040158637,-0.034410454,-0.023438279,0.07366304,-0.03816469,-0.02307821,0.046840854,0.07405414,1
TCGA-A1-A0SG-01,0.0009912401,0.04652585,0.08537644,-0.044180922,-0.008002739,-0.02841954,-0.096899144,0.14276484,-0.008483406,-0.024059216,0.10321706,0.027552575,-0.011483457,0.015052284,0.029673567,0.6134151,-0.004429668,-0.20282426,0.0078657735,0.071390934,-0.08261259,-0.011160221,0.009219492,0.04740998,0.12755701,-0.109881856,0.02147178,-0.07148889,0.14838232,-0.06851966,0.0037630852,0.02538024,1
TCGA-A1-A0SH-01,0.025673121,-0.009156821,0.021250542,-0.032850362,0.018265683,-0.0466737,-0.0072841244,0.03594472,-0.07419345,-0.007821301,0.028421037,-0.056780264,-0.037989315,-0.01651645,0.058831263,-1.3816769,0.023058265,0.004177101,-0.03680043,-0.0005897805,-0.0019675605,-0.0061502866,0.0018533862,0.041581333,0.029945143,-0.019965209,0.023727234,-0.05000669,-0.0979642,-0.011424072,0.082689226,-0.022119446,1
TCGA-A1-A0SI-01,-0.016885728,-0.052166015,0.10180053,0.042585053,0.06698699,0.09256916,-0.06757211,-0.059260096,0.020509649,-0.11681116,-0.0036204755,-0.025711782,-0.05991536,-0.06176916,0.013118705,0.44300932,-0.09807186,-0.0040298477,0.02393824,-0.12537622,0.051986028,-0.097421825,-0.073814146,-0.033065975,-0.055615954,0.097313724,0.03233212,0.027850423,-0.006663747,0.058344536,-0.017003829,0.033407815,1
TCGA-A1-A0SJ-01,0.041935354,0.020516755,0.037839588,-0.071467705,0.005756993,-0.09900783,-0.059367884,0.18688858,-0.09028801,0.03595107,0.11455145,-0.025484916,-0.05143678,0.0071566654,0.06948864,-1.4578454,0.049459875,-0.08245941,0.01611458,0.04194922,0.014518846,0.0054786094,-0.0030028874,0.059600055,0.079298146,-0.077653326,0.07461235,-0.112505734,0.097663745,-0.024810322,0.09291491,-0.10650797,1
TCGA-A1-A0SK-01,0.05982168,-0.052582532,0.06171679,-0.008109011,-0.051935535,-0.01692602,-0.06418615,0.081187166,0.055006567,0.021449616,0.004754238,0.007459722,-0.03515243,0.05278158,0.020314207,0.6688137,0.004396435,-0.06641384,0.06830174,0.030311711,0.011824835,0.015908513,-0.005361652,0.009526791,0.021677263,-0.02295933,-0.0102034025,-0.06102777,0.20081194,-0.026246853,-0.029779563,-0.034787014,1
TCGA-A1-A0SM-01,0.01486136,-0.030743478,0.026669797,-0.06514899,0.024832208,0.0032545775,-0.03780632,-0.004290054,-0.05216786,0.021367898,-0.006000884,-0.015894592,-0.001959499,-0.0015139179,0.0036765835,-1.166065,0.017064631,0.06801296,-0.05782496,-0.016219072,0.018570233,0.036804546,-0.0053490456,0.05777073,-0.022824757,0.015707754,-0.0037381537,-0.06301586,-0.089879826,-0.021167763,0.07154983,0.0061852504,1
TCGA-A1-A0SN-01,-0.04941316,0.023767384,0.0405091,0.07270648,-0.03736971,0.056484267,0.11702079,-0.21535218,-0.0034692548,-0.016738215,-0.11087722,-0.09756983,0.09892604,-0.10544256,0.009937694,-0.0046061426,0.025256723,0.14578754,0.06629342,-0.1380884,-0.0048890226,-0.004974719,0.08772736,-0.02044466,-0.18781862,0.090470366,-0.017355952,0.07089414,-0.26122957,0.069124274,0.034496196,0.06296335,1
TCGA-A1-A0SO-01,0.020142913,-0.034954906,-0.030598704,0.04203763,-0.004154127,-0.04232502,-0.0033700364,0.039531935,-0.06885192,-0.024897257,-0.033893198,-0.00737463,-0.028584894,0.0038984371,0.013615718,-1.2395283,0.008747637,0.06508767,-0.049794257,-0.0027649924,-0.002516698,0.01879299,-0.030358216,0.0025527496,-0.007921092,0.04224225,0.0017508529,-0.020832825,-0.07292476,-0.019837864,0.07586264,-0.024294628,1
